ID,NAME,LAT,LONG,ELEVATION
0,pcp-75.55-0.15,-0.15,-75.55,218
1,pcp-75.25-0.15,-0.15,-75.25,223
2,pcp-75.15-0.15,-0.15,-75.15,213
3,pcp-75.05-0.15,-0.15,-75.05,203
4,pcp-75.45-0.25,-0.25,-75.45,223
5,pcp-75.35-0.25,-0.25,-75.35,226
6,pcp-75.25-0.25,-0.25,-75.25,229
7,pcp-75.15-0.25,-0.25,-75.15,215
8,pcp-75.05-0.25,-0.25,-75.05,223
9,pcp-74.95-0.25,-0.25,-74.95,195
10,pcp-74.85-0.25,-0.25,-74.85,198
11,pcp-74.75-0.25,-0.25,-74.75,181
12,pcp-75.35-0.35,-0.35,-75.35,210
13,pcp-75.25-0.35,-0.35,-75.25,223
14,pcp-75.15-0.35,-0.35,-75.15,222
15,pcp-75.05-0.35,-0.35,-75.05,215
16,pcp-74.95-0.35,-0.35,-74.95,219
17,pcp-74.85-0.35,-0.35,-74.85,200
18,pcp-74.75-0.35,-0.35,-74.75,184
19,pcp-75.35-0.45,-0.45,-75.35,181
20,pcp-75.25-0.45,-0.45,-75.25,208
21,pcp-75.15-0.45,-0.45,-75.15,221
22,pcp-75.05-0.45,-0.45,-75.05,216
23,pcp-74.95-0.45,-0.45,-74.95,212
24,pcp-74.85-0.45,-0.45,-74.85,186
25,pcp-74.75-0.45,-0.45,-74.75,213
26,pcp-74.65-0.45,-0.45,-74.65,210
27,pcp-74.55-0.45,-0.45,-74.55,182
28,pcp-75.15-0.55,-0.55,-75.15,208
29,pcp-75.05-0.55,-0.55,-75.05,217
30,pcp-74.95-0.55,-0.55,-74.95,220
31,pcp-74.85-0.55,-0.55,-74.85,201
32,pcp-74.75-0.55,-0.55,-74.75,195
33,pcp-74.65-0.55,-0.55,-74.65,195
34,pcp-74.55-0.55,-0.55,-74.55,200
35,pcp-74.45-0.55,-0.55,-74.45,189
36,pcp-75.25-0.65,-0.65,-75.25,205
37,pcp-75.15-0.65,-0.65,-75.15,219
38,pcp-75.05-0.65,-0.65,-75.05,218
